各年收入族群女性持卡人於六都消費樣態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,地區,性別,食品餐飲類未滿20[筆數],食品餐飲類未滿20[金額，新台幣],衣著飾品類未滿20[筆數],衣著飾品類未滿20[金額，新台幣],旅館住宿類未滿20[筆數],旅館住宿類未滿20[金額，新台幣],交通類未滿20[筆數],交通類未滿20[金額，新台幣],文教康樂類未滿20[筆數],文教康樂類未滿20[金額，新台幣],百貨類未滿20[筆數],百貨類未滿20[金額，新台幣],其他類未滿20[筆數],其他類未滿20[金額，新台幣],食品餐飲類20[含]-25[筆數],食品餐飲類20[含]-25[金額，新台幣],衣著飾品類20[含]-25[筆數],衣著飾品類20[含]-25[金額，新台幣],旅館住宿類20[含]-25[筆數],旅館住宿類20[含]-25[金額，新台幣],交通類20[含]-25[筆數],交通類20[含]-25[金額，新台幣],文教康樂類20[含]-25[筆數],文教康樂類20[含]-25[金額，新台幣],百貨類20[含]-25[筆數],百貨類20[含]-25[金額，新台幣],其他類20[含]-25[筆數],其他類20[含]-25[金額，新台幣],食品餐飲類25[含]-30[筆數],食品餐飲類25[含]-30[金額，新台幣],衣著飾品類25[含]-30[筆數],衣著飾品類25[含]-30[金額，新台幣],旅館住宿類25[含]-30[筆數],旅館住宿類25[含]-30[金額，新台幣],交通類25[含]-30[筆數],交通類25[含]-30[金額，新台幣],文教康樂類25[含]-30[筆數],文教康樂類25[含]-30[金額，新台幣],百貨類25[含]-30[筆數],百貨類25[含]-30[金額，新台幣],其他類25[含]-30[筆數],其他類25[含]-30[金額，新台幣],食品餐飲類30[含]-35[筆數],食品餐飲類30[含]-35[金額，新台幣],衣著飾品類30[含]-35[筆數],衣著飾品類30[含]-35[金額，新台幣],旅館住宿類30[含]-35[筆數],旅館住宿類30[含]-35[金額，新台幣],交通類30[含]-35[筆數],交通類30[含]-35[金額，新台幣],文教康樂類30[含]-35[筆數],文教康樂類30[含]-35[金額，新台幣],百貨類30[含]-35[筆數],百貨類30[含]-35[金額，新台幣],其他類30[含]-35[筆數],其他類30[含]-35[金額，新台幣],食品餐飲類35[含]-40[筆數],食品餐飲類35[含]-40[金額，新台幣],衣著飾品類35[含]-40[筆數],衣著飾品類35[含]-40[金額，新台幣],旅館住宿類35[含]-40[筆數],旅館住宿類35[含]-40[金額，新台幣],交通類35[含]-40[筆數],交通類35[含]-40[金額，新台幣],文教康樂類35[含]-40[筆數],文教康樂類35[含]-40[金額，新台幣],百貨類35[含]-40[筆數],百貨類35[含]-40[金額，新台幣],其他類35[含]-40[筆數],其他類35[含]-40[金額，新台幣],食品餐飲類40[含]-45[筆數],食品餐飲類40[含]-45[金額，新台幣],衣著飾品類40[含]-45[筆數],衣著飾品類40[含]-45[金額，新台幣],旅館住宿類40[含]-45[筆數],旅館住宿類40[含]-45[金額，新台幣],交通類40[含]-45[筆數],交通類40[含]-45[金額，新台幣],文教康樂類40[含]-45[筆數],文教康樂類40[含]-45[金額，新台幣],百貨類40[含]-45[筆數],百貨類40[含]-45[金額，新台幣],其他類40[含]-45[筆數],其他類40[含]-45[金額，新台幣],食品餐飲類45[含]-50[筆數],食品餐飲類45[含]-50[金額，新台幣],衣著飾品類45[含]-50[筆數],衣著飾品類45[含]-50[金額，新台幣],旅館住宿類45[含]-50[筆數],旅館住宿類45[含]-50[金額，新台幣],交通類45[含]-50[筆數],交通類45[含]-50[金額，新台幣],文教康樂類45[含]-50[筆數],文教康樂類45[含]-50[金額，新台幣],百貨類45[含]-50[筆數],百貨類45[含]-50[金額，新台幣],其他類45[含]-50[筆數],其他類45[含]-50[金額，新台幣],食品餐飲類50[含]-55[筆數],食品餐飲類50[含]-55[金額，新台幣],衣著飾品類50[含]-55[筆數],衣著飾品類50[含]-55[金額，新台幣],旅館住宿類50[含]-55[筆數],旅館住宿類50[含]-55[金額，新台幣],交通類50[含]-55[筆數],交通類50[含]-55[金額，新台幣],文教康樂類50[含]-55[筆數],文教康樂類50[含]-55[金額，新台幣],百貨類50[含]-55[筆數],百貨類50[含]-55[金額，新台幣],其他類50[含]-55[筆數],其他類50[含]-55[金額，新台幣],食品餐飲類55[含]-60[筆數],食品餐飲類55[含]-60[金額，新台幣],衣著飾品類55[含]-60[筆數],衣著飾品類55[含]-60[金額，新台幣],旅館住宿類55[含]-60[筆數],旅館住宿類55[含]-60[金額，新台幣],交通類55[含]-60[筆數],交通類55[含]-60[金額，新台幣],文教康樂類55[含]-60[筆數],文教康樂類55[含]-60[金額，新台幣],百貨類55[含]-60[筆數],百貨類55[含]-60[金額，新台幣],其他類55[含]-60[筆數],其他類55[含]-60[金額，新台幣],食品餐飲類60[含]-65[筆數],食品餐飲類60[含]-65[金額，新台幣],衣著飾品類60[含]-65[筆數],衣著飾品類60[含]-65[金額，新台幣],旅館住宿類60[含]-65[筆數],旅館住宿類60[含]-65[金額，新台幣],交通類60[含]-65[筆數],交通類60[含]-65[金額，新台幣],文教康樂類60[含]-65[筆數],文教康樂類60[含]-65[金額，新台幣],百貨類60[含]-65[筆數],百貨類60[含]-65[金額，新台幣],其他類60[含]-65[筆數],其他類60[含]-65[金額，新台幣],食品餐飲類65[含]-70[筆數],食品餐飲類65[含]-70[金額，新台幣],衣著飾品類65[含]-70[筆數],衣著飾品類65[含]-70[金額，新台幣],旅館住宿類65[含]-70[筆數],旅館住宿類65[含]-70[金額，新台幣],交通類65[含]-70[筆數],交通類65[含]-70[金額，新台幣],文教康樂類65[含]-70[筆數],文教康樂類65[含]-70[金額，新台幣],百貨類65[含]-70[筆數],百貨類65[含]-70[金額，新台幣],其他類65[含]-70[筆數],其他類65[含]-70[金額，新台幣],食品餐飲類70[含]-75[筆數],食品餐飲類70[含]-75[金額，新台幣],衣著飾品類70[含]-75[筆數],衣著飾品類70[含]-75[金額，新台幣],旅館住宿類70[含]-75[筆數],旅館住宿類70[含]-75[金額，新台幣],交通類70[含]-75[筆數],交通類70[含]-75[金額，新台幣],文教康樂類70[含]-75[筆數],文教康樂類70[含]-75[金額，新台幣],百貨類70[含]-75[筆數],百貨類70[含]-75[金額，新台幣],其他類70[含]-75[筆數],其他類70[含]-75[金額，新台幣],食品餐飲類75[含]-80[筆數],食品餐飲類75[含]-80[金額，新台幣],衣著飾品類75[含]-80[筆數],衣著飾品類75[含]-80[金額，新台幣],旅館住宿類75[含]-80[筆數],旅館住宿類75[含]-80[金額，新台幣],交通類75[含]-80[筆數],交通類75[含]-80[金額，新台幣],文教康樂類75[含]-80[筆數],文教康樂類75[含]-80[金額，新台幣],百貨類75[含]-80[筆數],百貨類75[含]-80[金額，新台幣],其他類75[含]-80[筆數],其他類75[含]-80[金額，新台幣],食品餐飲類80[含]以上[筆數],食品餐飲類80[含]以上[金額，新台幣],衣著飾品類80[含]以上[筆數],衣著飾品類80[含]以上[金額，新台幣],旅館住宿類80[含]以上[筆數],旅館住宿類80[含]以上[金額，新台幣],交通類80[含]以上[筆數],交通類80[含]以上[金額，新台幣],文教康樂類80[含]以上[筆數],文教康樂類80[含]以上[金額，新台幣],百貨類80[含]以上[筆數],百貨類80[含]以上[金額，新台幣],其他類80[含]以上[筆數],其他類80[含]以上[金額，新台幣]
103年07月,台中市,女性,452,396720,95,157166,45,138943,70,35508,248,1241203,627,1329924,114,351476,11822,14518511,2992,6257495,1345,6310196,3992,2670048,5895,18549384,12817,35119964,4914,18994553,38180,53569106,8499,19347893,3843,22769301,13413,11284514,14125,49217961,39729,112331773,15261,61140029,70723,98728983,17170,37600849,6656,43919945,21204,21598053,19913,77890119,68758,183728594,31608,117448366,90325,129296340,18832,42621536,8598,55756640,23747,27105091,24499,103738761,79526,211784241,43793,159795774,93618,135238528,14814,39129654,9541,63988369,22337,26514115,23743,128817173,73303,218893311,43061,169611057,85523,131796291,11385,33840735,8649,61660227,18397,22312543,17873,118172509,59946,198035500,37847,164935857,60317,101328461,6862,23649062,5757,45708593,12760,15318015,10247,72688861,38575,142370234,26011,126981383,37238,63582172,3585,13557079,3041,27461128,6751,7984231,5071,37583750,20606,84063720,15541,73290126,20383,33008656,1744,6634500,1425,13613711,3052,4117693,2301,19147860,10521,41267266,7873,35449667,6719,10823243,426,1708971,425,3328729,856,821316,696,6474871,3211,12070343,2478,11613588,2884,4017125,147,560519,167,1735508,263,250050,256,2706344,1146,4501744,809,3730506,926,1085129,29,113676,63,482890,48,105012,79,1196547,456,1613261,234,1231333,483,1090002,175,575804,75,558356,45,224326,206,1255738,378,1460475,452,3879427
103年08月,台中市,女性,578,498348,111,240511,59,317199,106,61991,311,1010325,738,1958127,119,451585,13321,17176581,2944,6097292,1400,5347261,4004,2452558,6518,20771117,13928,38834664,5019,21441236,42556,71839720,8295,18916637,3629,17297318,13429,10806657,15179,54519793,41747,122038437,14617,58062150,76483,118404734,16283,34763631,6350,34915096,21123,21151230,19850,78002357,70257,197297819,27330,103754861,97144,148141004,17992,38884787,8203,45297559,23736,24850139,23545,95712800,79598,217819409,36393,137390859,100143,155026026,15226,36854514,9316,54160045,22313,25262672,23029,105810791,74229,220373170,35351,148013202,91113,146483452,12146,34529860,8172,53307101,18548,21512550,17835,104622934,61908,200880117,31954,148349728,64937,113528987,7495,24939006,5293,34406463,13138,16324829,10443,79364252,39397,145123019,22887,114387617,39003,67032316,3775,13307837,2813,21988395,6793,7607803,4999,40737128,21120,81043679,13421,65040826,22001,36158129,1699,8289810,1401,11211623,3100,3383735,2458,22545076,10794,39146853,6824,34002677,7123,11310156,449,1763092,394,2273591,928,984289,739,6219626,3248,11332337,2396,10934459,2874,4250804,138,493588,157,1619185,250,328273,245,3019453,1061,3618603,775,4161834,938,1328392,25,113316,47,354191,44,43309,67,598592,429,1402131,244,1302896,509,894054,149,517945,70,412549,76,210290,226,1442269,431,2109011,319,2512219
103年09月,台中市,女性,499,416620,97,194199,58,278324,98,83400,247,529449,703,2082508,108,507602,11791,14687485,2795,6095145,1227,4354879,3843,2188274,5937,18254072,14274,48948227,5009,22922349,37529,72044171,7902,19026898,3117,14555931,12897,10497397,13629,54743487,48108,203380030,14284,64508628,68442,97636875,15689,37593413,5364,31708038,19917,19393479,17475,79067296,84102,373076471,26544,107906207,85328,119144707,15812,39179842,6720,40089008,22193,24149091,19511,89043106,90800,425447589,35873,139854340,86626,126980230,12372,34947995,7634,45969269,20832,22658168,18354,85973350,79769,421366773,34529,146044605,78871,117488562,10062,32670421,7376,46188470,17999,20452291,14891,84358037,67313,386373040,30748,140763217,57566,92038609,6678,24706779,4955,32829153,12458,14833738,9614,67874189,45059,297312524,22966,111113986,35347,56355426,3523,15211723,2679,18330699,6640,6940529,5077,44531601,26065,183390106,14052,67873720,20046,32961325,1744,7180837,1297,10153749,3036,3359384,2445,25225675,13386,99252764,7331,34160111,6538,9840211,430,1656759,351,2418971,914,1156734,749,9623782,3949,27477113,2464,12092017,2497,3573835,139,624255,142,1129003,237,257689,264,3755249,1283,10059907,863,4487901,823,1174097,28,208519,28,279604,43,47377,72,1069921,552,4064057,268,1176602,420,726952,147,565875,65,1113383,62,66873,234,1826197,386,2653814,276,3415452
103年10月,台中市,女性,447,344084,131,243226,38,89173,113,48588,231,504865,815,2207005,106,326606,11357,13252799,3261,7610898,1256,4718185,4197,2291191,5808,17771627,20849,68284932,5600,26550689,35931,46617708,8968,22601407,3431,16494804,12868,10499808,13795,54974027,67791,250289687,15695,72777138,65781,91563360,17074,41606521,5800,31741499,20836,19635148,18187,81207090,111940,408481184,27885,116528869,84820,117234146,17248,44092064,7466,43645938,22736,23160320,20926,99960425,119465,438165781,36565,150177184,85475,120798720,12702,35795826,7452,44121443,21338,23525302,19103,95406871,103395,410644014,34907,144208843,77274,118517353,10111,32470548,6775,39905839,18006,19739443,15674,91716512,86330,384041571,31252,144109767,56563,83733545,6697,24632199,5084,34617238,12714,14167007,10195,78039139,58304,291951862,23612,123233456,35188,53118633,3778,15637091,2644,19616063,6906,7408997,5450,49422583,33411,173403858,13927,70073291,20181,30999078,1852,7739222,1470,10019256,3181,3266988,2715,29968766,17383,90303470,7678,39600986,6669,9476091,455,1704791,398,2930935,968,1102158,802,10002660,5213,28171280,2647,14378893,2565,3374088,166,928775,143,1020193,240,329065,278,3902024,1728,8395961,825,4548388,878,1148283,31,157725,43,299817,49,39342,80,1142568,727,3583145,271,1628039,457,781347,141,538842,67,777792,65,68516,184,1507195,526,2943620,290,3407846
103年11月,台中市,女性,450,329090,108,220867,26,91748,121,68750,178,303368,532,1096400,126,551623,11143,13094191,3170,7707253,1216,4889925,4010,2216689,5541,14536071,11378,30624459,5230,25389329,34853,49768477,8354,21553812,3926,18277726,12277,9467653,13067,49653404,34003,98215476,15249,74951608,62813,95269499,15850,41101628,7267,40424165,19712,18275742,17387,76315271,59288,167685991,26766,117360463,81173,122228156,16586,45671491,9120,51192005,21988,22625909,20092,92753163,69439,197850483,35719,146007802,82257,123522614,12037,36788626,8563,51134457,20234,21015209,18624,91593090,62065,194355009,33450,147137699,75100,119152602,9589,32927966,7666,50679226,17235,18154685,15218,81619679,52064,183652005,30033,144141897,54015,90431081,6282,26333147,5477,38095993,12057,13251618,9793,68912161,33794,132088226,22253,116225071,33647,55989425,3524,16419151,3172,24043470,6656,7021772,5038,41750298,18988,80088276,13456,67416284,19524,31292607,1700,7556454,1557,11474493,3004,3087559,2495,23175617,9917,40427450,7178,36983992,6347,9719833,417,1713368,442,3982946,876,837444,784,8189653,3072,12574306,2432,13206191,2473,3916122,123,608743,156,1330615,245,219000,278,2943743,975,4150251,755,3760165,808,1199737,30,211442,47,488290,50,39598,85,823425,414,1483491,258,1654244,406,646996,128,641893,68,795826,70,170410,191,1477721,364,1275474,312,4109275
103年12月,台中市,女性,518,344298,135,289047,40,132418,119,77087,248,685592,732,1480323,100,353886,12482,14820015,3653,8372014,1341,5154449,4036,2536683,5836,17068284,15561,43943349,5653,27832502,37738,55901440,9421,23535100,3614,17956798,12441,10399108,13316,51582737,42517,126313926,16016,78844673,68299,107026856,18388,45194123,6150,34475509,20045,18892514,17821,77795566,73752,226116295,28472,127085219,89003,137538929,20521,54460441,7750,46805919,22432,21996125,21428,103446100,86933,263242119,38748,166907531,89587,138108154,16227,48813933,8164,52048435,20889,22554894,20023,102130512,79065,268770558,36843,167974314,79771,134677007,12824,44043988,7238,47781991,17911,19364628,15989,89447846,65640,256949805,33343,166288514,58686,104296588,8176,33805954,5432,37372824,12692,13993935,10477,68832262,42463,182718017,25009,138037236,36892,66055173,4600,20169768,3057,20104999,6838,7816957,5629,38156662,23810,110939394,15125,88895039,21639,35866850,2145,10146057,1529,11053001,3279,2880802,2612,19760545,12479,54806474,8414,47627800,7310,11766626,508,2494235,452,3148016,901,700680,779,6131191,3822,17320893,2899,16581488,2804,4706957,133,650873,149,1224877,243,273576,247,2984953,1265,5623602,901,5877222,895,1175905,43,188444,48,377056,52,60557,68,502432,531,2457747,275,1559509,460,675681,173,741809,66,796239,44,84325,208,1093867,403,1553280,337,5824253
104年01月,台中市,女性,428,380493,97,203616,31,102170,100,74825,202,579600,524,1434378,110,358113,11689,13286838,3206,7772110,1266,5183407,3967,2185321,5879,17752665,12177,37183144,5348,25834102,35849,54370941,8873,22641225,3543,18992442,11628,8419385,13626,49833300,36511,121008092,14985,74471473,65541,106221568,17992,46104479,5973,36978610,18904,15807813,18454,78402670,64936,215092213,27131,117452744,84464,138040465,19640,52059448,7724,49470278,21002,19326282,21714,97539711,77031,252171131,36125,142527833,86815,145585313,15278,46508758,8586,57669916,19534,19558731,20451,103742899,71989,261345105,34683,149817961,79863,143674030,12304,43122875,7502,50507200,16694,17087496,16999,100633424,62028,254536301,31580,149468468,59421,137460871,8033,32873634,5732,43205494,11972,13459522,11038,73025420,40757,185135734,23724,117037097,36720,72037484,4430,19342594,3258,27228691,6443,6707149,5632,39605653,22435,108502012,14514,69551303,22048,40768860,2139,9889171,1674,13907606,3088,2811485,2810,20796640,11788,56873217,7883,41545540,7575,12912449,600,2591097,504,3823411,890,651060,828,6516541,3841,19766891,2599,13765353,2779,4691021,178,1108070,176,1543229,223,183325,262,2061191,1203,6507503,842,4328172,843,1354777,44,320949,49,613117,54,38422,112,989189,462,2020051,258,1105112,482,953916,188,885349,70,820770,49,85568,201,1027104,427,1549275,328,3444107
104年02月,台中市,女性,389,338903,104,260014,42,164097,71,42859,212,657978,636,1882123,106,403574,10788,14150097,3599,9023837,1237,5306538,3130,1827167,5921,17626687,14371,48453952,4424,21431787,34848,56712267,8860,23351580,3456,18541493,9939,7175636,13272,48398325,41665,146765476,12853,61610506,62741,109103711,17257,43985910,5533,31805149,16418,12830328,18058,73018100,71746,237859890,22038,94808280,82686,144122064,20739,53982790,7494,42205542,18342,16791255,21559,89221556,87270,283492429,29846,118128606,85068,155580479,17920,51296599,7973,48059664,17374,15933929,20746,97335230,83012,284185416,29232,129301188,81275,153627103,14212,45175059,7691,49474594,15300,14914116,17151,93784293,72001,273110547,26865,127440101,59934,128770668,8446,31427975,5282,39940746,11131,10530581,10259,65056258,45519,187226697,19852,99684763,37159,78186251,4226,16939965,3060,21925646,6084,5745329,5021,35978702,23332,107443538,11502,60701279,21456,41725751,1980,8070808,1411,9770659,2891,2466496,2369,17833922,12158,50994057,6470,33350210,7430,13935379,526,2102341,493,3455164,862,649943,648,4763485,3539,14732018,2143,10259290,2688,5011345,143,592773,167,1123290,225,168990,230,1536929,1114,4619765,713,3325504,873,1600690,36,160750,48,393236,43,31496,64,738965,450,1776157,213,1076203,483,988033,160,645334,57,513828,30,42237,212,1537225,370,1249886,295,2357609
104年03月,台中市,女性,404,328656,118,212041,50,170825,102,45383,217,689135,590,1570425,120,407766,11140,13089008,3039,6816512,1257,4761375,4031,2717637,6097,20638859,13451,43344430,5295,24603980,33235,48850331,7719,18659915,3082,14911391,11585,8363336,13513,55124525,37962,142167058,14945,73114098,59923,95949650,15580,36172716,5098,28479655,18953,15553803,17348,81718444,65160,259096634,27625,112771871,77483,124998117,16543,41405109,6166,34911546,21233,18430427,19767,94142180,72761,305269095,37827,144760937,76409,118218046,11919,33458927,6602,39903814,19385,18113879,18045,93139572,64575,297361878,36185,144398802,70943,111723499,9568,30926363,6034,36939496,16947,15573524,15324,89386973,55872,279247068,33192,139921643,52249,84489082,6714,25470873,4489,30471033,12061,11937913,10252,77521053,37094,201039385,25389,115381350,32842,60586333,3961,15943862,2709,20180164,6535,6653270,5706,48380760,21393,124478292,15836,69094460,19289,30565057,2015,8304802,1314,9659067,3294,3053850,2853,28627349,11503,70454912,8803,41226220,6854,10068161,569,2269719,435,3004678,975,911266,1024,11531421,3794,21874213,2859,11114441,2543,3928559,149,544777,172,1306184,276,249262,299,3626894,1132,7631742,840,3121609,817,1209619,38,187322,48,527487,50,41835,90,1022967,443,2451541,324,1448179,382,618115,128,487782,64,747901,46,86670,188,1248736,333,1636496,315,2895307
104年04月,台中市,女性,427,288987,88,190666,31,61504,101,47886,198,531094,649,1794547,105,239188,11250,12881864,2931,6566862,1076,4302129,3840,2257348,6031,21270938,14356,47172249,4902,22062411,33249,48650637,8072,19746762,3173,19630175,11235,8137174,13687,58230582,42505,153589366,13861,62094681,61416,92918095,16021,37182965,5612,36603642,18544,15429040,17773,84866094,73130,262319526,25636,100052898,79573,127535252,16705,42371853,7333,48294606,20361,18645271,20839,102868538,81372,285226613,34529,131738132,79760,121980443,12193,33773954,7619,52805853,18648,18263461,19315,101941083,72669,268875148,33818,135605786,73207,113944391,9956,32646744,7232,52910591,16302,16427405,16029,100719372,61792,257406973,30556,134826568,54612,90251278,6879,26571301,5181,38235500,11709,11837999,10561,80753543,42095,192219576,23645,114742650,33830,59554838,3839,15407240,3224,26014048,6422,6155763,5768,53989607,23732,114548289,14186,63305746,19761,31681112,1957,8929050,1536,13198877,3117,3060512,2813,34407601,12634,61183966,8157,38930408,7017,10247358,593,2455555,547,4810613,901,660927,886,12024640,3915,18593874,2841,13330795,2680,3987318,126,662408,152,863732,244,289470,271,3919288,1331,6718947,849,3819417,945,1164730,49,318284,60,384405,46,39220,77,1458434,500,1966582,260,1208480,449,721739,147,545823,52,740385,48,28617,227,2757500,370,1240424,279,2039966
104年05月,台中市,女性,455,340462,89,179954,41,158435,108,52908,222,1109309,665,1434501,94,296631,12526,15078807,3026,6463914,1253,4704916,4026,2566145,6241,19444861,14603,42999245,5149,23162893,37623,56691121,8053,19989786,3380,17671533,11817,8674750,13748,53711865,38900,122092222,14438,66187930,68410,109631737,15627,37766178,5511,33795143,19649,16221044,17749,78370742,63705,192841806,26357,107353984,88850,146507568,16257,42140470,6934,42141536,21725,20459923,20652,99694464,72836,224973299,35172,138895030,88861,138270817,11938,35961665,7025,43559596,19518,19761422,19283,112793371,65538,213740346,33763,140564442,81743,131477842,9766,34166216,6757,43866921,17247,17442932,16360,104176424,56915,212969134,30898,138766245,60047,103241975,6649,26418771,4717,32909620,12198,12972300,10591,78332013,38845,158935230,23189,113351072,37059,65528672,3780,16830306,2898,19926992,6526,7264567,5333,48839901,21534,92515755,14371,72726690,21795,35307297,1887,8296518,1400,10932542,3106,3016617,2885,33651288,11812,48642119,8028,36236009,7758,11670146,536,2510804,421,3590115,935,760433,865,11470448,3685,14075919,2661,13208030,2677,4448284,147,616589,164,1066557,240,224024,287,4357855,1203,4976460,820,3810582,842,1118387,44,185821,41,226293,44,35420,96,1370165,451,1710104,273,1152585,475,719595,173,814240,69,774761,55,288575,217,1633807,305,1444916,295,1848133
104年06月,台中市,女性,524,471602,84,146941,39,166112,102,58992,232,1413602,572,1215595,137,423175,11648,13122970,3140,6936260,1350,6431388,4027,2463115,6430,18761709,12324,33081280,5355,21261678,35768,62206238,7677,18934004,3514,20569514,12077,8943750,13874,47230249,33279,103485463,14435,63149742,65589,96349580,14924,34844233,5965,38520686,20019,18390016,17762,73057379,55255,168611782,26397,109674464,85623,128673668,14922,38257878,7388,49280955,21801,20398831,20923,103844758,65658,204091710,36563,139369400,84938,127342264,10965,32373605,7806,52372759,19929,20469334,19869,119947641,60864,203226162,35206,145875881,79803,117932726,8834,31191383,7321,51929072,17644,19309076,16432,113500586,51458,199584711,32601,144418879,58927,91739674,6051,24154564,5523,40304875,12633,13080913,10547,78459062,34031,141595376,24650,115848028,36934,63190106,3364,14387163,3206,27011967,6858,7218496,5354,43442034,19051,87519547,14788,69330473,22109,35440399,1692,8070350,1628,13115137,3205,3307064,2692,25825609,9771,44355460,8614,40199309,7789,10974241,474,2054460,523,4093892,1031,1525186,818,9357704,3287,16897091,2937,12510941,2789,4012185,143,511568,192,1161801,241,287924,251,4016510,1006,4175722,896,3493162,983,1361513,36,220235,48,473443,61,51604,71,1005273,420,1444104,292,1406908,469,731401,137,547006,62,414465,42,34400,195,1201202,299,962309,296,2464129
104年07月,台中市,女性,569,423983,111,224516,57,182006,124,128925,271,1203815,621,1359477,112,324327,12042,13555195,3108,6785228,1414,5611615,4069,2507524,6774,19261608,11335,31685480,5469,20664434,38167,57018389,8260,19832978,3722,19436315,12460,9074246,14658,53342205,32559,95075364,16061,64059341,68871,99533584,15923,37143004,6122,36412952,21235,19251487,18937,77242178,56198,156380362,31583,119917039,90918,128532101,17166,41900530,8348,51368923,23793,23212923,22643,106951387,69576,192453403,45551,165206820,91590,138255782,12800,36108252,8973,56626682,21044,23390029,22598,130956551,63914,193207918,44656,187187793,86870,141892287,10461,34825538,8410,54033498,18546,21736739,18865,127930281,55886,191647870,40366,174106790,64874,107534112,7008,26564331,5957,42179341,13162,15645869,11663,82767960,36495,138853264,29741,141505997,39135,66708347,3666,15377098,3332,24647320,6994,7143902,5890,45572343,20258,85792009,17635,81240160,23087,36717952,1907,8328442,1717,13216261,3268,3580591,2875,22854886,10604,44929218,9806,47395866,8523,11886479,543,2008207,600,4426286,1043,1340056,845,8262568,3601,13889377,3079,16777153,2975,4545307,171,1056891,182,1358226,264,437747,286,2835709,1120,6105281,978,4876079,999,1473919,36,250472,46,294553,62,93246,106,1019565,476,1844028,298,1708480,490,630078,154,598633,68,348294,56,57640,195,1425249,365,1184170,426,2606298
104年08月,台中市,女性,634,571602,94,199702,71,201680,115,49405,276,936432,645,1379388,169,488892,13386,17677505,2822,6218663,1593,6138340,3796,2236511,6775,19855136,11839,31478325,5534,21103642,43178,69433348,7351,17309838,4062,18074301,12083,8372826,15128,48752691,33697,99332508,15517,63693316,77198,122797829,13858,30690861,6470,32312150,20074,16774545,18667,70152948,55751,161631896,27559,114267046,103261,160507904,14709,35543492,8764,43268875,22497,20472914,22404,88509237,68723,187073488,37920,138099139,103938,166303887,11213,30679755,9286,52563656,20570,19366257,21687,96496177,62765,181141246,37129,153831658,98107,160293893,9349,31284343,8599,49801236,17781,17108893,18002,98869682,55145,177263775,34343,150894472,73070,128191020,6283,23557092,5877,35909948,12622,13463556,11378,76126883,36568,131823243,25488,123398263,44345,79188289,3424,14549096,3058,20227093,6721,6457373,5758,45408864,19263,71770674,15388,72806363,26193,43567149,1603,7073022,1508,11056439,3147,2748383,2820,24046592,10200,36301450,8686,41898419,9457,14586810,453,1759290,527,3560611,1000,1013948,881,10282192,3223,11654134,3002,13596929,3205,5074249,143,550650,174,975521,224,226952,272,2539306,1049,4640496,940,4257202,1069,1605290,39,140335,56,279489,60,52794,93,864191,389,1522800,323,1459757,594,972486,117,411087,76,591488,35,56372,193,1869391,333,1044132,339,2356727
104年09月,台中市,女性,570,441693,188,340776,169,253982,135,63324,313,783722,693,1738409,135,419202,12441,15910709,4051,8351753,2296,6250192,3767,2188825,6545,19968553,14138,48762538,5288,18970691,38605,65041263,10456,23795602,5642,21427020,11245,7752885,14433,49897501,43000,185361793,14574,61078660,70339,110957551,17613,40510537,9024,40911429,18760,14966040,18124,73538196,71966,338097448,26262,103169828,91017,143025035,16656,40867274,10687,49432457,21215,19208187,20533,85791924,81097,380029466,36117,128075865,89693,146486352,11742,33787970,10210,48794637,19397,18500814,19411,89819826,71437,371071797,34188,134326586,86815,139199370,9978,32332643,9741,47830155,17307,18194360,16877,85214471,62819,354454395,32381,135880302,65427,143135124,7018,26651342,7070,38405879,12377,11383774,11256,76645251,42546,274424941,24469,118481957,41185,85223493,3819,15705149,3831,22052361,6683,6987851,5966,55332803,24736,175203453,14998,70897530,24541,40434788,2044,8506310,1854,11322463,3144,3171968,2933,27441277,13100,96260367,8498,40814911,8780,13073079,585,2206380,622,4036562,1031,1029940,1038,13223596,4093,29582595,3036,14016530,2935,4585428,135,554248,169,979395,224,320069,302,3763978,1301,9221957,880,3923644,1160,1493920,35,119568,50,216008,63,48151,107,1494592,524,3917748,344,1711858,496,862532,133,571443,74,334909,47,95396,184,1249848,348,2994998,282,2102622
